,C,D,BN,AN,W
7/21/1952,50,75,75,250,250
7/22/1952,50,75,75,250,250
7/23/1952,50,75,75,250,250
7/24/1952,50,75,75,250,250
7/25/1952,50,75,75,250,250
7/26/1952,50,75,75,250,250
7/27/1952,50,75,75,250,250
7/28/1952,50,75,75,250,250
7/29/1952,50,75,75,250,250
7/30/1952,50,75,75,250,250
7/31/1952,50,75,75,250,250
8/1/1952,50,75,75,250,250
8/2/1952,50,75,75,250,250
8/3/1952,50,75,75,250,250
8/4/1952,50,75,75,250,250
8/5/1952,50,75,75,250,250
8/6/1952,50,75,75,250,250
8/7/1952,50,75,75,250,250
8/8/1952,50,75,75,250,250
8/9/1952,50,75,75,250,250
8/10/1952,50,75,75,250,250
8/11/1952,50,75,75,250,250
8/12/1952,50,75,75,250,250
8/13/1952,50,75,75,250,250
8/14/1952,50,75,75,250,250
8/15/1952,50,75,75,250,250
8/16/1952,50,75,75,250,250
8/17/1952,50,75,75,250,250
8/18/1952,50,75,75,250,250
8/19/1952,50,75,75,250,250
8/20/1952,50,75,75,250,250
8/21/1952,50,75,75,250,250
8/22/1952,50,75,75,250,250
8/23/1952,50,75,75,250,250
8/24/1952,50,75,75,250,250
8/25/1952,50,75,75,250,250
8/26/1952,50,75,75,250,250
8/27/1952,50,75,75,250,250
8/28/1952,50,75,75,250,250
8/29/1952,50,75,75,250,250
8/30/1952,50,75,75,250,250
8/31/1952,50,75,75,250,250
9/1/1952,50,75,75,250,250
9/2/1952,50,75,75,250,250
9/3/1952,50,75,75,250,250
9/4/1952,50,75,75,250,250
9/5/1952,50,75,75,250,250
9/6/1952,50,75,75,250,250
9/7/1952,50,75,75,250,250
9/8/1952,50,75,75,250,250
9/9/1952,50,75,75,250,250
9/10/1952,50,75,75,250,250
9/11/1952,50,75,75,250,250
9/12/1952,50,75,75,250,250
9/13/1952,50,75,75,250,250
9/14/1952,50,75,75,250,250
9/15/1952,50,75,75,250,250
9/16/1952,50,75,75,250,250
9/17/1952,50,75,75,250,250
9/18/1952,50,75,75,250,250
9/19/1952,50,75,75,250,250
9/20/1952,50,75,75,250,250
9/21/1952,50,75,75,250,250
9/22/1952,50,75,75,250,250
9/23/1952,50,75,75,250,250
9/24/1952,50,75,75,250,250
9/25/1952,50,75,75,250,250
9/26/1952,50,75,75,250,250
9/27/1952,50,75,75,250,250
9/28/1952,50,75,75,250,250
9/29/1952,50,75,75,250,250
9/30/1952,50,75,75,250,250
10/1/1952,100,150,200,300,300
10/2/1952,100,150,200,300,300
10/3/1952,100,150,200,300,300
10/4/1952,100,150,200,300,300
10/5/1952,100,150,200,300,300
10/6/1952,100,150,200,300,300
10/7/1952,100,150,200,300,300
10/8/1952,100,150,200,300,300
10/9/1952,100,150,200,300,300
10/10/1952,100,150,200,300,300
10/11/1952,100,150,200,300,300
10/12/1952,100,150,200,300,300
10/13/1952,100,150,200,300,300
10/14/1952,100,150,200,300,300
10/15/1952,100,150,200,300,300
10/16/1952,150,150,272.0266041,507.5508607,507.5508607
10/17/1952,150,150,272.0266041,507.5508607,507.5508607
10/18/1952,150,150,272.0266041,507.5508607,507.5508607
10/19/1952,150,150,175,300,300
10/20/1952,150,150,175,300,300
10/21/1952,150,150,175,300,300
10/22/1952,150,150,175,300,300
10/23/1952,150,150,175,300,300
10/24/1952,150,150,175,300,300
10/25/1952,150,150,175,300,300
10/26/1952,150,150,175,300,300
10/27/1952,150,150,175,300,300
10/28/1952,150,150,175,300,300
10/29/1952,150,150,175,300,300
10/30/1952,150,150,175,300,300
10/31/1952,150,150,175,300,300
11/1/1952,150,150,175,300,300
11/2/1952,150,150,175,300,300
11/3/1952,150,150,175,300,300
11/4/1952,150,150,175,300,300
11/5/1952,150,150,175,300,300
11/6/1952,150,150,175,300,300
11/7/1952,150,150,175,300,300
11/8/1952,150,150,175,300,300
11/9/1952,150,150,175,300,300
11/10/1952,150,150,175,300,300
11/11/1952,150,150,175,300,300
11/12/1952,150,150,175,300,300
11/13/1952,150,150,175,300,300
11/14/1952,150,150,175,300,300
11/15/1952,150,150,175,300,300
11/16/1952,150,150,175,300,300
11/17/1952,150,150,175,300,300
11/18/1952,150,150,175,300,300
11/19/1952,150,150,175,300,300
11/20/1952,150,150,175,300,300
11/21/1952,150,150,175,300,300
11/22/1952,150,150,175,300,300
11/23/1952,150,150,175,300,300
11/24/1952,150,150,175,300,300
11/25/1952,150,150,175,300,300
11/26/1952,150,150,175,300,300
11/27/1952,150,150,175,300,300
11/28/1952,150,150,175,300,300
11/29/1952,150,150,175,300,300
11/30/1952,150,150,175,300,300
12/1/1952,150,150,175,300,300
12/2/1952,150,150,175,300,300
12/3/1952,150,150,175,300,300
12/4/1952,150,150,175,300,300
12/5/1952,150,150,175,300,300
12/6/1952,150,150,175,300,300
12/7/1952,150,150,175,300,300
12/8/1952,150,150,175,300,300
12/9/1952,150,150,175,300,300
12/10/1952,150,150,175,300,300
